player,price
Scottie Scheffler,10
Rory McIlroy,10
Jon Rahm,10
Brooks Koepka,10
Jordan Spieth,10
Will Zalatoris,10
Viktor Hovland,10
Xander Schauffele,10
Patrick Cantlay,9
Justin Thomas,9
Cameron Smith,9
Hideki Matsuyama,9
Collin Morikawa,9
Joaquin Niemann,9
Wyndham Clark,9
Matt Fitzpatrick,9
Nicolai Højgaard,8
Dustin Johnson,8
Ludvig Åberg,8
Tony Finau,8
Max Homa,8
Brian Harman,8
Shane Lowry,8
Cameron Young,8
Jason Day,7
Bryson DeChambeau,7
Sam Burns,7
Sahith Theegala,7
Tommy Fleetwood,7
Sungjae Im,7
Tyrrell Hatton,7
Corey Conners,7
Tom Kim,6
Justin Rose,6
Patrick Reed,6
Russell Henley,6
Adam Scott,6
Rickie Fowler,6
Sean Knapp,6
Byeong Hun An,6
Stephan Jaeger,5
Phil Mickelson,5
Harris English,5
Sergio Garcia,5
Tiger Woods,5
Gary Woodland,5
Keegan Bradley,5
Chris Kirk,5
Ryan Fox,4
J.T. Poston,4
Si Woo Kim,4
Zach Johnson,4
Nick Dunlap,4
Austin Eckroat,4
Peter Malnati,4
Cam Davis,4
Thorbjorn Olesen,3
Adrian Meronk,3
Sepp Straka,3
Nick Taylor,3
Eric Cole,3
Matthieu Pavon,3
Emiliano Grillo,3
Luke List,3
Adam Hadwin,3
Charl Schwartzel,3
Kurt Kitayama,3
Bubba Watson,2
Ryo Hisatsune,2
Erik van Rooyen,2
Camilo Villegas,2
Danny Willett,2
Denny McCarthy,2
Lee Hodges,2
Min Woo Lee,2
Taylor Moore,2
Adam Schenk,2
Lucas Glover,2
Grayson Murray,2
Christo Lamprecht,2
Mike Weir,1
Fred Couples,1
Vijay Singh,1
Stewart Hagestad,1
Sam Stubbs,1
Sam Shipley,1
José de la Fuente,1
José María Olazábal,1